CPU Name,Cores,CPU Mark -,Thread Mark -,TDP (W) -,Socket,Category
06/8c,8,"5,040","2,680",NA,Unknown,Mobile/Embedded
06/8e,8,"3,848","2,388",NA,Unknown,Mobile/Embedded
06/9c,4,"3,191","1,439",NA,Unknown,Mobile/Embedded
15/70,2,"1,085",878,NA,Unknown,Unknown
AArch64 rev 0 (aarch64),8,"2,656","1,073",NA,Unknown,Unknown
AArch64 rev 1 (aarch64),8,"2,385","1,045",NA,Unknown,Unknown
AArch64 rev 2 (aarch64),8,"2,253",954,NA,Unknown,Unknown
AArch64 rev 4 (aarch64),8,"1,725",649,NA,Unknown,Unknown
AC8257V/WAB,8,735,447,NA,Unknown,Unknown
AMD 3015Ce,2,"2,096","1,342",6,FT5,Mobile/Embedded
AMD 3015e,2,"2,720","1,391",6,Unknown,Laptop
AMD 3020e,2,"2,493","1,428",6,Unknown,Laptop
AMD 4700S,8,"18,212","2,399",NA,Unknown,Desktop
AMD A10 Micro-6700T APU,4,"1,345",700,5,FT3b,Laptop
AMD A10 PRO-7350B APU,4,"1,910",911,19,FP3,Laptop
AMD A10 PRO-7800B APU,2,"3,184","1,502",65,FM2+,Desktop
AMD A10 PRO-7850B APU,2,"3,458","1,587",95,FM2+,Desktop
AMD A10-4600M APU,2,"1,923","1,067",35,FS1r2,Laptop
AMD A10-4655M APU,2,"1,637",902,25,FP2,Laptop
AMD A10-4657M APU,4,"1,759",940,35,FP2,Laptop
AMD A10-5700 APU,2,"2,731","1,438",65,FM2,Desktop
AMD A10-5745M APU,4,"1,743",982,25,FP2,Laptop
AMD A10-5750M APU,4,"1,902","1,097",35,FS1r2,Laptop
AMD A10-5757M APU,4,"1,985","1,107",35,FP2,Laptop
AMD A10-5800B APU,2,"2,897","1,526",100,FM2,Desktop
AMD A10-5800K APU,2,"2,941","1,495",100,FM2,Desktop
AMD A10-6700 APU,4,"3,090","1,607",65,FM2,Desktop
AMD A10-6700T APU,2,"2,311","1,310",45,FM2,Desktop
AMD A10-6790K APU,2,"3,124","1,569",100,FM2,Desktop
AMD A10-6800B APU,2,"2,824","1,513",100,FM2,Desktop
AMD A10-6800K APU,2,"3,154","1,605",100,FM2,Desktop
AMD A10-7300 APU,4,"1,708",842,19,FP3,Laptop
AMD A10-7400P,4,"2,106","1,060",35,FP3,Laptop
AMD A10-7700K APU,2,"3,153","1,423",95,FM2+,Desktop
AMD A10-7800 APU,2,"3,142","1,450",65,FM2+,Desktop
AMD A10-7850K APU,2,"3,353","1,509",95,FM2+,Desktop
AMD A10-7860K,2,"3,333","1,538",65,FM2+,Desktop
AMD A10-7870K,2,"3,474","1,504",95,FM2+,Desktop
AMD A10-7890K,2,"3,477","1,566",95,FM2+,Desktop
AMD A10-8700P,2,"2,265","1,150",35,FP4,Laptop
AMD A10-8750,2,"3,320","1,554",65,FM2+,Desktop
AMD A10-8850,2,"3,525","1,624",NA,Unknown,Desktop
AMD A10-9600P,4,"2,218","1,064",15,FP4,Laptop
AMD A10-9620P,4,"2,518","1,279",15,Unknown,Laptop
AMD A10-9630P,4,"2,899","1,355",35,FP4,Laptop
AMD A10-9700,4,"3,541","1,616",65,AM4,Desktop
AMD A10-9700E,4,"2,947","1,413",35,AM4,Desktop
AMD A12-9700P,4,"2,422","1,188",15,FP4,Laptop
AMD A12-9720P,4,"2,608","1,326",15,FP4,Laptop
