CPU Name,Cores,CPU Mark -,Thread Mark -
AMD 3015e,2,"2,720","1,391"
AMD 3020e,2,"2,493","1,428"
AMD A10 Micro-6700T APU,4,"1,345",700
AMD A10 PRO-7350B APU,4,"1,910",911
AMD A10-4600M APU,2,"1,923","1,067"
AMD A10-4655M APU,2,"1,637",902
AMD A10-4657M APU,4,"1,759",940
AMD A10-5745M APU,4,"1,743",982
AMD A10-5750M APU,4,"1,902","1,097"
AMD A10-5757M APU,4,"1,985","1,107"
AMD A10-7300 APU,4,"1,708",842
AMD A10-7400P,4,"2,106","1,060"
AMD A10-8700P,2,"2,265","1,150"
AMD A10-9600P,4,"2,218","1,064"
AMD A10-9620P,4,"2,518","1,279"
AMD A10-9630P,4,"2,899","1,355"
AMD A12-9700P,4,"2,422","1,188"
AMD A12-9720P,4,"2,608","1,326"
AMD A12-9730P,4,"3,172","1,487"
AMD A4 Micro-6400T APU,4,"1,004",530
AMD A4 PRO-3340B,4,"1,652",657
AMD A4-1200 APU,2,391,295
AMD A4-1250 APU,2,432,338
AMD A4-3300M APU,2,683,766
AMD A4-3305M APU,2,727,819
AMD A4-3310MX APU,2,821,878
AMD A4-3320M APU,2,640,656
AMD A4-3330MX APU,2,752,910
AMD A4-4300M APU,1,971,976
AMD A4-4355M APU,2,818,828
AMD A4-5000 APU,4,"1,289",510
AMD A4-5050 APU,4,"1,328",538
AMD A4-5100 APU,4,"1,346",540
AMD A4-5150M APU,2,753,700
AMD A4-6210 APU,4,"1,478",607
AMD A4-7210 APU,4,"1,683",730
AMD A4-9120,2,"1,229","1,059"
AMD A4-9120C,2,894,953
AMD A4-9120e,2,899,783
AMD A4-9125,2,"1,211","1,039"
AMD A6 Micro-6500T APU,4,"1,146",630
AMD A6 PRO-7050B APU,2,"1,027",905
AMD A6-1450 APU,4,"1,117",468
AMD A6-3400M APU,4,"1,226",717
AMD A6-3410MX APU,4,"1,176",712
AMD A6-3420M APU,4,"1,262",788
AMD A6-3430MX APU,4,"1,448",822
AMD A6-4400M APU,1,"1,026","1,043"
AMD A6-4455M APU,1,795,788
AMD A6-5200 APU,4,"1,646",657
AMD A6-5345M APU,2,"1,122","1,094"
AMD A6-5350M APU,2,"1,142","1,197"
AMD A6-5357M APU,2,"1,260","1,268"
AMD A6-6310 APU,4,"1,666",750
AMD A6-7000,2,"1,010",857
AMD A6-7310 APU,4,"1,736",787
AMD A6-8500P,2,"1,466","1,272"
AMD A6-9200,2,"1,062",925
AMD A6-9210,2,"1,260","1,101"
AMD A6-9220,2,"1,287","1,140"
AMD A6-9220C,2,"1,159","1,018"
AMD A6-9220e,2,937,819
AMD A6-9225,2,"1,334","1,179"
