Videocard Name,G3D Mark -,G2D Mark -,TDP (W) -,Category
128 DDR Radeon 9700 TX w/TV-Out,44,152,NA,Unknown
128 DDR Radeon 9800 Pro,62,191,NA,Unknown
128MB DDR Radeon 9800 Pro,66,175,NA,Unknown
128MB RADEON X600 SE,49,229,NA,Unknown
15FF,"8,229",538,NA,Unknown
256MB DDR Radeon 9800 XT,38,192,NA,Unknown
256MB RADEON X600,67,252,NA,Unknown
3DP Edition,827,931,NA,Unknown
64MB DDR GeForce3 Ti 200,6,218,NA,Unknown
64MB GeForce2 MX with TV Out,3,98,NA,Unknown
7900 MOD - Radeon HD 6520G,610,323,NA,Unknown
7900 MOD - Radeon HD 6550D,893,536,NA,Unknown
9xx Soldiers sans frontiers Sigma 2,22,253,NA,Unknown
A10-8700P,514,302,NA,Unknown
A16,"5,797",56,NA,Unknown
A40-12Q,"5,573",198,NA,Unknown
A6 Micro-6500T Quad-Core APU with RadeonR4,220,127,NA,Unknown
ABIT Siluro T400,4,151,NA,Unknown
ALL-IN-WONDER 9000,5,103,NA,Unknown
ALL-IN-WONDER 9800,23,139,NA,Unknown
ALL-IN-WONDER RADEON 8500DV,6,128,NA,Unknown
All-in-Wonder X1800XL,30,283,NA,Unknown
All-in-Wonder X1900,127,445,NA,Unknown
ALL-IN-WONDER X800 GT,84,186,NA,Unknown
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,110,NA,Unknown
ASUS A7000,9,164,NA,Unknown
ASUS AGP-V3800PRO v31.40H,5,149,NA,Unknown
ASUS EAH4870x2,496,539,NA,Unknown
Asus GTX 650 FML II EC-EGPU,721,534,NA,Unknown
ASUS V9520-X V62.11,8,208,NA,Unknown
B8DKMDAP,"4,557",534,NA,Unknown
Barco MXRT 1450,206,520,NA,Unknown
Barco MXRT 2600,900,649,NA,Unknown
Barco MXRT 5400,"1,161",457,NA,Unknown
Barco MXRT 5450,"1,079",478,NA,Unknown
Barco MXRT 5500,"2,702",510,NA,Unknown
Barco MXRT 7100,180,659,NA,Unknown
Barco MXRT 7400,901,682,NA,Unknown
Barco MXRT 7500,"4,319",762,NA,Unknown
Barco MXRT 7600,"4,944",442,NA,Unknown
BASICDISPLAY,70,691,NA,Unknown
CARRIZO 9874,247,69,NA,Unknown
Citrix Indirect Display Adapter,"4,447",700,NA,Unknown
CONNECT 3D RADEON X300,36,191,NA,Unknown
Custom GPU 0405,"2,832",489,NA,Unknown
Dell 8100,2,58,NA,Unknown
Dell 8200,4,205,NA,Unknown
Diamond X1300-PCIE 256MB,70,286,NA,Unknown
EAH5450,134,216,NA,Unknown
EG PARK,141,7,NA,Unknown
EIZO MED-X5000,"3,038",405,NA,Unknown
EIZO Quadro MED-XN51LP,"4,955",812,NA,Unknown
Embedded Radeon E9173,"1,798",368,NA,Unknown
Extreme AX850 PRO,120,218,NA,Unknown
Familia Intel Q33 Express Chipset,10,168,NA,Unknown
Famille de jeu de puces Express Intel 946GZ,7,230,NA,Unknown
FireGL T2-128,31,178,NA,Workstation
FireGL V3100,53,275,NA,Workstation
FireGL V3200,85,236,NA,Workstation
FireGL V3300,71,326,NA,Workstation
FireGL V3350,69,336,NA,Workstation
FireGL V3400,103,353,NA,Workstation
FireGL V3600,180,399,NA,Workstation
FireGL V5100,93,250,NA,Workstation
FireGL V5200,115,348,NA,Workstation
FireGL V5600,341,445,NA,Workstation
FireGL V7100,72,223,NA,Workstation
FireGL V7200,116,348,NA,Workstation
FireGL V7300,128,322,NA,Workstation
FireGL V7350,111,344,NA,Workstation
FireGL V7600,616,488,NA,Workstation
FireGL V7700,660,422,NA,Workstation
FireGL V8600,839,406,NA,Workstation
FireGL V8650,550,637,NA,Workstation
FireGL X1,59,167,NA,Unknown
FireMV 2200 PCI,1,153,NA,Workstation
