Videocard Name,G3D Mark -,G2D Mark -
128 DDR Radeon 9700 TX w/TV-Out,44,152
128 DDR Radeon 9800 Pro,62,191
128MB DDR Radeon 9800 Pro,66,175
128MB RADEON X600 SE,49,229
15FF,"8,229",538
256MB DDR Radeon 9800 XT,38,192
256MB RADEON X600,67,252
3DP Edition,827,931
64MB DDR GeForce3 Ti 200,6,218
64MB GeForce2 MX with TV Out,3,98
7900 MOD - Radeon HD 6520G,610,323
7900 MOD - Radeon HD 6550D,893,536
9xx Soldiers sans frontiers Sigma 2,22,253
A10-8700P,514,302
A16,"5,797",56
A40-12Q,"5,573",198
A6 Micro-6500T Quad-Core APU with RadeonR4,220,127
ABIT Siluro T400,4,151
ALL-IN-WONDER 9000,5,103
ALL-IN-WONDER 9800,23,139
ALL-IN-WONDER RADEON 8500DV,6,128
All-in-Wonder X1800XL,30,283
All-in-Wonder X1900,127,445
ALL-IN-WONDER X800 GT,84,186
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,110
ASUS A7000,9,164
ASUS AGP-V3800PRO v31.40H,5,149
ASUS EAH4870x2,496,539
Asus GTX 650 FML II EC-EGPU,721,534
ASUS V9520-X V62.11,8,208
B8DKMDAP,"4,557",534
Barco MXRT 1450,206,520
Barco MXRT 2600,900,649
Barco MXRT 5400,"1,161",457
Barco MXRT 5450,"1,079",478
Barco MXRT 5500,"2,702",510
Barco MXRT 7100,180,659
Barco MXRT 7400,901,682
Barco MXRT 7500,"4,319",762
Barco MXRT 7600,"4,944",442
BASICDISPLAY,70,691
CARRIZO 9874,247,69
Citrix Indirect Display Adapter,"4,447",700
CONNECT 3D RADEON X300,36,191
Custom GPU 0405,"2,832",489
Dell 8100,2,58
Dell 8200,4,205
Diamond X1300-PCIE 256MB,70,286
EAH5450,134,216
EG PARK,141,7
EIZO MED-X5000,"3,038",405
EIZO Quadro MED-XN51LP,"4,955",812
Embedded Radeon E9173,"1,798",368
Extreme AX850 PRO,120,218
Familia Intel Q33 Express Chipset,10,168
Famille de jeu de puces Express Intel 946GZ,7,230
FireGL T2-128,31,178
FireGL V3100,53,275
FireGL V3200,85,236
FireGL V3300,71,326
FireGL V3350,69,336
FireGL V3400,103,353
FireGL V3600,180,399
FireGL V5100,93,250
FireGL V5200,115,348
FireGL V5600,341,445
FireGL V7100,72,223
FireGL V7200,116,348
FireGL V7300,128,322
FireGL V7350,111,344
FireGL V7600,616,488
FireGL V7700,660,422
FireGL V8600,839,406
FireGL V8650,550,637
FireGL X1,59,167
FireMV 2200 PCI,1,153
FireMV 2200 PCIe,36,259
FireMV 2250,46,290
FireMV 2260,117,488
FireMV 2400 PCIe,11,283
FireMV 2450,74,610
FirePro 2260,113,431
FirePro 2270,147,195
FirePro 2450,51,482
FirePro 2460,170,352
FirePro 3D V3700,179,466
FirePro 3D V3750,341,467
FirePro 3D V3800,472,507
FirePro 3D V4800,854,324
FirePro 3D V5700,547,517
FirePro 3D V5800,"1,232",339
FirePro 3D V7750,545,468
FirePro 3D V7800,"1,867",562
FirePro 3D V8700,"1,206",515
FirePro 3D V8750,"1,272",542
FirePro 3D V8800,"2,438",632
FirePro 3D V9800,"2,812",556
FirePro M2000,406,206
FirePro M4000,"1,597",410
FirePro M4000 Mobility Pro,"1,615",475
FirePro M40003,"1,364",652
Firepro M4100,"1,059",623
FirePro M4150,999,207
FirePro M4170,"1,067",290
FirePro M5100,"2,103",800
FirePro M5100 FireGL V,"1,839",867
FirePro M5950,"1,314",574
FirePro M6000,"1,820",776
FirePro M6000 Mobility Pro,"1,709",320
FirePro M6100,"1,945",338
FirePro M6100 FireGL V,"2,656",519
FirePro M7740,665,415
FirePro R5000,"2,647",625
FirePro RG220,335,552
FirePro S10000,"5,315",493
FirePro S7000,"4,166",615
FirePro S7150,"6,276",866
FirePro S9000,"5,059",561
FirePro S9050,"4,901",369
FirePro V3800,332,188
FirePro V3900,662,242
FirePro V4900,974,318
FirePro V5700,465,469
FirePro V5800,"1,186",339
FirePro V5900,"1,271",352
FirePro V7000,"3,162",668
FirePro V7800,"2,034",290
FirePro V7900,"2,310",324
FirePro V8700,"1,539",527
FirePro V8800,"2,223",471
FirePro V9800,"2,727",655
FirePro W2100,889,326
FirePro W4100,"1,541",535
FirePro W4170M,954,223
Firepro W4190M,"1,086",194
FirePro W4300,"2,835",740
FirePro W5000,"3,051",597
FirePro W5100,"2,955",534
FirePro W5130M,"1,341",307
